route_name,start_stop_name,start_ds100,end_stop_name,end_ds100,composition_id,n_coaches,weight_t,length_m,v_max_kmh,energy_kwh,distance_km,travel_time_min
332/1372 = 333/1373,Köln Hbf,KK,Düsseldorf Hbf,KD,NEW-BAL-7,7,313.8,185.7,230,193,39.1,24
332/1372 = 333/1373,Köln Hbf,KK,Düsseldorf Hbf,KD,NEW-BAL-14,14,627.6,371.4,230,300,39.1,25
332/1372 = 333/1373,Mainz Hbf,FMZ,München Ost,MOP,REF-BUD-6,6,323.3,158.4,200,2313,442.8,274
332/1372 = 333/1373,Mainz Hbf,FMZ,München Ost,MOP,REF-COUCH-6,6,313.0,158.4,200,2280,442.8,274
332/1372 = 333/1373,Mainz Hbf,FMZ,München Ost,MOP,REF-BAL-9,9,501.4,237.6,200,3040,442.8,274
332/1372 = 333/1373,Mainz Hbf,FMZ,München Ost,MOP,REF-COUCH-10,10,532.2,264.0,200,3191,442.8,277
332/1372 = 333/1373,Mainz Hbf,FMZ,München Ost,MOP,REF-BUD-12,12,636.0,316.8,200,3627,442.8,278
332/1372 = 333/1373,Mainz Hbf,FMZ,München Ost,MOP,REF-PREM-12,12,631.6,316.8,200,3610,442.8,278
332/1372 = 333/1373,Mainz Hbf,FMZ,München Ost,MOP,NEW-BAL-7,7,313.8,185.7,230,2362,442.8,274
332/1372 = 333/1373,Mainz Hbf,FMZ,München Ost,MOP,NEW-BAL-14,14,627.6,371.4,230,3721,442.8,278
332/1372 = 333/1373,München Ost,MOP,Darmstadt Hbf,FD,REF-BUD-6,6,323.3,158.4,200,1680,414.2,256
332/1372 = 333/1373,München Ost,MOP,Darmstadt Hbf,FD,REF-COUCH-6,6,313.0,158.4,200,1660,414.2,256
332/1372 = 333/1373,München Ost,MOP,Darmstadt Hbf,FD,REF-BAL-9,9,501.4,237.6,200,2159,414.2,257
332/1372 = 333/1373,München Ost,MOP,Darmstadt Hbf,FD,REF-COUCH-10,10,532.2,264.0,200,2265,414.2,260
332/1372 = 333/1373,München Ost,MOP,Darmstadt Hbf,FD,REF-BUD-12,12,636.0,316.8,200,2550,414.2,260
332/1372 = 333/1373,München Ost,MOP,Darmstadt Hbf,FD,REF-PREM-12,12,631.6,316.8,200,2540,414.2,260
332/1372 = 333/1373,München Ost,MOP,Darmstadt Hbf,FD,NEW-BAL-7,7,313.8,185.7,230,1731,414.2,257
332/1372 = 333/1373,München Ost,MOP,Darmstadt Hbf,FD,NEW-BAL-14,14,627.6,371.4,230,2578,415.0,255
334/1374 = 335/1375,Aschaffenburg Hbf,NAH,München Ost,MOP,REF-BUD-6,6,323.3,158.4,200,1951,370.6,227
334/1374 = 335/1375,Aschaffenburg Hbf,NAH,München Ost,MOP,REF-COUCH-6,6,313.0,158.4,200,1923,370.6,227
334/1374 = 335/1375,Aschaffenburg Hbf,NAH,München Ost,MOP,REF-BAL-9,9,501.4,237.6,200,2564,370.6,228
334/1374 = 335/1375,Aschaffenburg Hbf,NAH,München Ost,MOP,REF-COUCH-10,10,532.2,264.0,200,2692,370.6,230
334/1374 = 335/1375,Aschaffenburg Hbf,NAH,München Ost,MOP,REF-BUD-12,12,636.0,316.8,200,3058,370.6,230
334/1374 = 335/1375,Aschaffenburg Hbf,NAH,München Ost,MOP,REF-PREM-12,12,631.6,316.8,200,3044,370.6,230
334/1374 = 335/1375,Aschaffenburg Hbf,NAH,München Ost,MOP,NEW-BAL-7,7,313.8,185.7,230,1992,370.6,227
334/1374 = 335/1375,Aschaffenburg Hbf,NAH,München Ost,MOP,NEW-BAL-14,14,627.6,371.4,230,3138,370.6,231
452 = 453,Bad Schandau,DSA,Dresden Hbf,DH,REF-BUD-6,6,323.3,158.4,200,161,39.6,25
452 = 453,Bad Schandau,DSA,Dresden Hbf,DH,REF-COUCH-6,6,313.0,158.4,200,159,39.6,25
452 = 453,Bad Schandau,DSA,Dresden Hbf,DH,REF-BAL-9,9,501.4,237.6,200,208,39.6,25
452 = 453,Bad Schandau,DSA,Dresden Hbf,DH,REF-COUCH-10,10,532.2,264.0,200,219,39.6,26
452 = 453,Bad Schandau,DSA,Dresden Hbf,DH,REF-BUD-12,12,636.0,316.8,200,248,39.6,26
452 = 453,Bad Schandau,DSA,Dresden Hbf,DH,REF-PREM-12,12,631.6,316.8,200,247,39.6,26
452 = 453,Bad Schandau,DSA,Dresden Hbf,DH,NEW-BAL-7,7,313.8,185.7,230,167,39.6,25
452 = 453,Bad Schandau,DSA,Dresden Hbf,DH,NEW-BAL-14,14,627.6,371.4,230,258,39.6,26
452 = 453,Dresden Hbf,DH,Dresden Neustadt,DN,REF-BUD-6,6,323.3,158.4,200,30,3.8,4
452 = 453,Dresden Hbf,DH,Dresden Neustadt,DN,REF-COUCH-6,6,313.0,158.4,200,30,3.8,4
452 = 453,Dresden Hbf,DH,Dresden Neustadt,DN,REF-BAL-9,9,501.4,237.6,200,44,3.9,4
452 = 453,Dresden Hbf,DH,Dresden Neustadt,DN,REF-COUCH-10,10,532.2,264.0,200,46,3.9,5
452 = 453,Dresden Hbf,DH,Dresden Neustadt,DN,REF-BUD-12,12,636.0,316.8,200,54,3.9,5
452 = 453,Dresden Hbf,DH,Dresden Neustadt,DN,REF-PREM-12,12,631.6,316.8,200,54,3.9,5
452 = 453,Dresden Hbf,DH,Dresden Neustadt,DN,NEW-BAL-7,7,313.8,185.7,230,31,3.9,4
452 = 453,Dresden Hbf,DH,Dresden Neustadt,DN,NEW-BAL-14,14,627.6,371.4,230,54,3.9,5
454 = 455,Duisburg Hbf,EDG,Düsseldorf Hbf,KD,REF-BUD-6,6,323.3,158.4,200,130,23.6,14
