route_id,trip_id,leg_sequence,from_stop_id,to_stop_id,countries,scheduled_running_min,routed_driving_min,routed_dynamics_min,routed_model_min,implied_buffer_min,implied_buffer_pct,routed_buffer_min,applied_buffer_pct,routed_distance_km,excluded_reason
42,GWR Sleeper (London),3,Reading,London Paddington,GB,73,33,1,34,39,114.7,13,38.2,58.9,
44,ÖBB NJ 402,1,Zürich HB,Basel SBB,CH,29,47,1,48,-19,-39.6,14,29.2,89.9,router_slower_than_reality
44,ÖBB NJ 402,2,Basel SBB,Basel Bad Bf,CH,7,4,1,5,2,,1,20.0,4.4,leg_too_short
44,ÖBB NJ 402,3,Basel Bad Bf,Freiburg (Breisgau) Hbf,CH+DE,40,33,1,34,6,17.6,17,50.0,61.3,
44,ÖBB NJ 402,4,Freiburg (Breisgau) Hbf,Offenburg,DE,34,28,1,29,5,17.2,15,51.7,62.8,
44,ÖBB NJ 402,5,Offenburg,Bonn Hbf,DE,280,165,1,166,114,68.7,83,50.0,353.2,
44,ÖBB NJ 402,6,Bonn Hbf,Köln Hbf,DE,23,17,1,18,5,27.8,9,50.0,33.4,
44,ÖBB NJ 402,7,Köln Hbf,Düsseldorf Hbf,DE,30,20,1,21,9,42.9,11,52.4,40.4,
44,ÖBB NJ 402,8,Düsseldorf Hbf,Duisburg Hbf,DE,16,11,1,12,4,33.3,7,58.3,23.8,
44,ÖBB NJ 402,9,Duisburg Hbf,Oberhausen Hbf,DE,9,4,1,5,4,,3,60.0,7.2,leg_too_short
44,ÖBB NJ 402,10,Oberhausen Hbf,Arnhem Centraal,DE+NL,64,43,1,44,20,45.5,21,47.7,91.6,
44,ÖBB NJ 402,11,Arnhem Centraal,Utrecht Centraal,NL,46,28,1,29,17,58.6,11,37.9,56.7,
44,ÖBB NJ 402,12,Utrecht Centraal,Amsterdam Centraal,NL,30,28,1,29,1,3.4,11,37.9,40.2,
45,ÖBB NJ 420,1,Innsbruck Hbf,Jenbach,AT,18,14,1,15,3,20.0,5,33.3,34.1,
45,ÖBB NJ 420,2,Jenbach,Wörgl Hbf,AT,15,11,1,12,3,25.0,4,33.3,24.8,
45,ÖBB NJ 420,3,Wörgl Hbf,Kufstein,AT,9,7,1,8,1,,2,25.0,13.5,leg_too_short
45,ÖBB NJ 420,4,Kufstein,Rosenheim,AT+DE,23,18,1,19,4,21.1,10,52.6,34.1,
45,ÖBB NJ 420,5,Rosenheim,München Ost,DE,38,27,1,28,10,35.7,15,53.6,55.0,
45,ÖBB NJ 420,6,München Ost,Ingolstadt Hbf,DE,67,40,1,41,26,63.4,21,51.2,84.7,
45,ÖBB NJ 420,7,Ingolstadt Hbf,Nürnberg Hbf,DE,51,58,1,59,-8,-13.6,30,50.8,117.5,router_slower_than_reality
45,ÖBB NJ 420,8,Nürnberg Hbf,Würzburg Hbf,DE,115,47,1,48,67,139.6,25,52.1,101.9,
45,ÖBB NJ 420,9,Würzburg Hbf,Kassel-Wilhelmshöhe,DE,137,120,1,121,16,13.2,61,50.4,222.4,
45,ÖBB NJ 420,10,Kassel-Wilhelmshöhe,Essen Hbf,DE,156,117,1,118,38,32.2,59,50.0,244.4,
45,ÖBB NJ 420,11,Essen Hbf,Oberhausen Hbf,DE,14,9,1,10,4,40.0,5,50.0,17.0,
45,ÖBB NJ 420,12,Oberhausen Hbf,Arnhem Centraal,DE+NL,67,43,1,44,23,52.3,21,47.7,91.6,
45,ÖBB NJ 420,13,Arnhem Centraal,Utrecht Centraal,NL,46,28,1,29,17,58.6,11,37.9,56.7,
45,ÖBB NJ 420,14,Utrecht Centraal,Amsterdam Centraal,NL,30,28,1,29,1,3.4,11,37.9,40.2,
46,ÖBB NJ 40421,1,Amsterdam Centraal,Utrecht Centraal,NL,26,28,1,29,-3,-10.3,11,37.9,40.2,router_slower_than_reality
46,ÖBB NJ 40421,2,Utrecht Centraal,Arnhem Centraal,NL,41,28,1,29,12,41.4,11,37.9,56.7,
46,ÖBB NJ 40421,3,Arnhem Centraal,Oberhausen Hbf,DE+NL,73,43,1,44,29,65.9,21,47.7,91.6,
46,ÖBB NJ 40421,4,Oberhausen Hbf,Essen Hbf,DE,12,9,1,10,2,20.0,5,50.0,17.1,
46,ÖBB NJ 40421,5,Essen Hbf,Kassel-Wilhelmshöhe,DE,139,117,1,118,21,17.8,59,50.0,244.3,
46,ÖBB NJ 40421,6,Kassel-Wilhelmshöhe,Würzburg Hbf,DE,155,120,1,121,34,28.1,61,50.4,222.5,
46,ÖBB NJ 40421,7,Würzburg Hbf,Nürnberg Hbf,DE,72,47,1,48,24,50.0,25,52.1,101.9,
46,ÖBB NJ 40421,8,Nürnberg Hbf,München Ost,DE,101,89,1,90,11,12.2,45,50.0,202.9,
46,ÖBB NJ 40421,9,München Ost,Salzburg Hbf,AT+DE,102,76,1,77,25,32.5,38,49.4,146.8,
46,ÖBB NJ 40421,10,Salzburg Hbf,Linz Hbf,AT,77,63,1,64,13,20.3,22,34.4,124.2,
46,ÖBB NJ 40421,11,Linz Hbf,St. Pölten Hbf,AT,46,46,2,48,-2,-4.2,17,35.4,122.8,router_slower_than_reality
46,ÖBB NJ 40421,12,St. Pölten Hbf,Wien Meidling,AT,24,40,1,41,-17,-41.5,14,34.1,62.5,router_slower_than_reality
46,ÖBB NJ 40421,13,Wien Meidling,Wien Hbf,AT,9,3,1,4,5,,1,25.0,3.5,leg_too_short
48,HŽPP 1880,1,Osijek,Bjelovar,HR,260,186,1,187,73,39.0,74,39.6,177.6,
48,HŽPP 1880,2,Bjelovar,Zagreb Gl. K.,HR,74,70,1,71,3,4.2,28,39.4,76.9,
48,HŽPP 1880,3,Zagreb Gl. K.,Karlovac,HR,61,42,1,43,18,41.9,17,39.5,52.6,
48,HŽPP 1880,4,Karlovac,Knin,HR,286,231,1,232,54,23.3,92,39.7,268.1,
48,HŽPP 1880,5,Knin,Split,HR,134,97,1,98,36,36.7,39,39.8,102.7,
49,ÖBB NJ 294,1,Roma Tiburtina,Firenze Campo di Marte,IT,216,162,1,163,53,32.5,65,39.9,305.5,
49,ÖBB NJ 294,2,Firenze Campo di Marte,Bologna Centrale,IT,62,52,1,53,9,17.0,21,39.6,99.7,
49,ÖBB NJ 294,3,Bologna Centrale,Tarvisio Boscoverde,IT,251,156,1,157,94,59.9,63,40.1,352.5,
49,ÖBB NJ 294,4,Tarvisio Boscoverde,Villach Hbf,AT+IT,22,19,1,20,2,10.0,7,35.0,28.7,
49,ÖBB NJ 294,5,Villach Hbf,Schwarzach-St.Veit,AT,84,76,1,77,7,9.1,27,35.1,114.9,
49,ÖBB NJ 294,6,Schwarzach-St.Veit,Salzburg Hbf,AT,46,48,1,49,-3,-6.1,17,34.7,66.1,router_slower_than_reality
49,ÖBB NJ 294,7,Salzburg Hbf,Rosenheim,AT+DE,103,50,1,51,52,102.0,24,47.1,88.2,
49,ÖBB NJ 294,8,Rosenheim,München Hbf,DE,49,40,1,41,8,19.5,20,48.8,61.9,
5,ÖBB NJ 470,1,Zürich HB,Basel SBB,CH,64,47,1,48,16,33.3,14,29.2,89.9,
5,ÖBB NJ 470,2,Basel SBB,Basel Bad Bf,CH,10,4,1,5,5,,1,20.0,4.4,leg_too_short
5,ÖBB NJ 470,3,Basel Bad Bf,Freiburg (Breisgau) Hbf,CH+DE,30,33,1,34,-4,-11.8,17,50.0,61.3,router_slower_than_reality
5,ÖBB NJ 470,4,Freiburg (Breisgau) Hbf,Offenburg,DE,33,28,1,29,4,13.8,15,51.7,62.8,
5,ÖBB NJ 470,5,Offenburg,Baden-Baden,DE,21,18,1,19,2,10.5,10,52.6,40.0,
5,ÖBB NJ 470,6,Baden-Baden,Karlsruhe Hbf,DE,18,14,1,15,3,20.0,8,53.3,29.0,
5,ÖBB NJ 470,7,Karlsruhe Hbf,Bruchsal,DE,13,16,1,17,-4,-23.5,8,47.1,22.7,router_slower_than_reality
5,ÖBB NJ 470,8,Bruchsal,Heidelberg Hbf,DE,23,15,1,16,7,43.8,9,56.2,32.6,
5,ÖBB NJ 470,9,Heidelberg Hbf,Darmstadt Hbf,DE,51,28,1,29,22,75.9,15,51.7,59.3,
5,ÖBB NJ 470,10,Darmstadt Hbf,Frankfurt (Main) Süd,DE,15,14,1,15,0,0.0,8,53.3,26.6,
5,ÖBB NJ 470,11,Frankfurt (Main) Süd,Hanau Hbf,DE,13,16,1,17,-4,-23.5,8,47.1,21.2,router_slower_than_reality
5,ÖBB NJ 470,12,Hanau Hbf,Göttingen,DE,122,111,1,112,10,8.9,57,50.9,216.9,
5,ÖBB NJ 470,13,Göttingen,Hannover Hbf,DE,56,57,1,58,-2,-3.4,29,50.0,108.7,router_slower_than_reality
5,ÖBB NJ 470,14,Hannover Hbf,Bremen Hbf,DE,70,52,1,53,17,32.1,27,50.9,122.1,
5,ÖBB NJ 470,15,Bremen Hbf,Hamburg Harburg,DE,61,40,1,41,20,48.8,21,51.2,103.2,
5,ÖBB NJ 470,16,Hamburg Harburg,Hamburg Hbf,DE,13,7,1,8,5,,4,50.0,11.8,leg_too_short
50,ÖBB NJ 456,1,Graz Hbf,Bruck an der Mur,AT,36,38,1,39,-3,-7.7,13,33.3,53.8,router_slower_than_reality
50,ÖBB NJ 456,2,Bruck an der Mur,Mürzzuschlag,AT,26,25,1,26,0,0.0,9,34.6,42.2,
50,ÖBB NJ 456,3,Mürzzuschlag,Wiener Neustadt Hbf,AT,64,53,1,54,10,18.5,19,35.2,68.4,
